Year,Central,Eastern,Northern,Western
2001,0.26,0.29,1.43,8.99
2002,0.25,0.07,0.95,5.76
2003,0.29,0.11,2.2,13.13
2004,1.39,1.32,3.51,14.57
2005,2.28,0.1,3.31,10.97
2006,1.54,0.1,2.33,14.78
2007,1.14,0.31,1.83,18.21
2008,3.64,0.21,4.19,15.83
2009,1.95,0.24,3.29,12.42
2010,2.81,0.3,5.97,14.38
2011,0.75,0.07,1.39,3.32
2012,0.74,0.06,2.67,8.73
2013,4.31,0.42,11.22,11.05
2014,3.36,1.83,20.85,10.84
2015,1.84,2.08,9.64,4.82
2016,13.87,15.99,13.18,40.69
2017,2.27,0.35,19.31,8.98
2018,1.43,4.84,3.03,4.36
2019,1.18,0.13,8.51,4.74
2020,3.16,2.24,9.86,5.41
2021,1.74,0.28,61.2,8.77
2022,1.17,0.2,6.02,2.69
2023,0.53,0.01,4.74,2.61
